Page,Visitors,Total
"google.com",77,174
"facebook.com",76,85
"m.facebook.com",66,94
"lm.facebook.com",14,14
"com.google.android.googlequicksearchbox",7,8
"vercel.com",4,4
"l.instagram.com",3,3
"l.facebook.com",2,2
"bing.com",1,1
"l.wl.co",1,2
