Page,Visitors,Total
"US",849,8167
"CU",42,153
"IE",14,19
"SE",13,15
"CA",12,17
"AR",7,49
"AU",5,5
"FR",4,10
"CO",3,5
"DE",2,4
"ES",2,5
"MX",2,2
"NL",2,4
"BR",1,1
"GB",1,1
"IN",1,1
"IT",1,1
"PA",1,1
"PR",1,1
"SG",1,1
"TR",1,1
"VE",1,1
