Page,Visitors,Total
"Chrome",333,2166
"Mobile Safari",317,2915
"Chrome Mobile",154,527
"Safari",57,2679
"Facebook",56,83
"Chrome Mobile iOS",12,24
"Samsung Browser",10,20
"Firefox",6,9
"Chrome Webview",5,5
"Microsoft Edge",5,5
"Google Search App",4,24
"Instagram App",3,3
"Firefox Mobile",1,1
